bsa_rank_requirements
rank,requirement_number,category,description,keywords,,,,,,
Tenderfoot,6a,Fitness,Record your best in the following tests: push-ups (record the number done correctly in 60 seconds); sit-ups or curl-ups (record the number done correctly in 60 seconds); back-saver sit-and-reach (record the distance stretched); 1-mile walk/run (record the time).,fitness,physical fitness,push-ups,sit-ups,flexibility,running,
Tenderfoot,6b,Fitness,Develop and describe a plan for improvement in each of the activities listed in Tenderfoot requirement 6a. Keep track of your activity for at least 30 days.,fitness plan,improvement,tracking,goal setting,exercise,,
Tenderfoot,6c,Fitness,Show improvement (of any degree) in each activity listed in Tenderfoot requirement 6a after practicing for 30 days.,fitness improvement,progress,physical development,exercise,,,
Tenderfoot,7a,Citizenship,Demonstrate how to display raise lower and fold the U.S. flag.,flag ceremony,citizenship,patriotism,respect,,,
Tenderfoot,7b,Service,Participate in a total of one hour of service in one or more service projects approved by your Scoutmaster. Explain how your service to others relates to the Scout slogan and Scout motto.,service,community service,good turn,scout motto,scout slogan,,
Tenderfoot,8,Teaching,Describe the steps in Scouting's Teaching EDGE method. Use the Teaching EDGE method to teach another person how to tie the square knot.,teaching,EDGE method,instruction,mentoring,square knot,,
Second Class,1a,Camping,Since joining Scouts BSA participate in five separate troop/patrol activities at least three of which must be held outdoors. Of the outdoor activities at least two must include overnight camping. These activities do not include troop or patrol meetings. On campouts spend the night in a tent that you pitch or other structure that you help erect such as a lean-to snow cave or tepee.,camping,outdoor activities,participation,patrol activities,,,
Second Class,1b,Outdoor Ethics,Recite the Leave No Trace Seven Principles from memory. Explain how you follow them on all outings.,leave no trace,seven principles,conservation,ethics,memorization,,
Second Class,1c,Camping,On one of these campouts select a location for your patrol site and recommend it to your patrol leader senior patrol leader or troop guide. Explain what factors you should consider when choosing a patrol site and where to pitch a tent.,campsite selection,site selection,tent placement,camping,outdoor skills,,
Second Class,2a,Camping,Explain when it is appropriate to use a fire for cooking or other purposes and when it would not be appropriate to do so.,fire safety,cooking fires,leave no trace,outdoor ethics,,,
Second Class,2b,Camping,Use a pocketknife and a saw or axe if needed to prepare tinder kindling and fuel wood for a cooking fire.,fire building,wood preparation,knife skills,ax skills,,,
Second Class,2c,Camping,Using a minimum-impact method and at an approved outdoor location and time use the tinder kindling and fuel wood from Second Class requirement 2b to demonstrate how to build a fire. Unless prohibited by local fire restrictions light the fire. After allowing the flames to burn safely for at least two minutes safely extinguish the flames with minimal impact to the fire site. Properly dispose of the ashes and any charred remains.,fire building,fire safety,fire extinguishing,minimum impact,leave no trace,,
Second Class,2d,Camping,Explain when it is appropriate to use a lightweight stove and when it is appropriate to use a propane stove. Set up a lightweight stove or propane stove. Light the stove unless prohibited by local fire restrictions. Describe the safety procedures for using these types of stoves.,camp stoves,lightweight stove,propane stove,stove safety,cooking equipment,,
Second Class,2e,Cooking,On one campout plan and cook one hot breakfast or lunch selecting foods from MyPlate or the current USDA nutritional model. Explain the importance of good nutrition. Demonstrate how to transport store and prepare the foods you selected.,cooking,meal planning,nutrition,myplate,food storage,food preparation,
Second Class,2f,Pioneering,Demonstrate tying the sheet bend knot. Describe a situation in which you would use this knot.,sheet bend,knots,rope work,practical skills,,,
Second Class,2g,Pioneering,Demonstrate tying the bowline knot. Describe a situation in which you would use this knot.,bowline,knots,rope work,practical skills,,,
Second Class,3a,Navigation,Demonstrate how a compass works and how to orient a map. Use a map to point out and tell the meaning of five map symbols.,compass,map,navigation,orienteering,map symbols,,
Second Class,3b,Hiking,Using a compass and map together take a 5-mile hike (or 10 miles by bike) approved by your adult leader and your parent or guardian.,hiking,navigation,compass,map,outdoor adventure,,
Second Class,3c,Safety,Describe some hazards or injuries that you might encounter on your hike and what you can do to help prevent them.,hiking safety,hazard awareness,injury prevention,outdoor safety,,,
Second Class,3d,Navigation,Demonstrate how to find directions during the day and at night without using a compass or an electronic device.,navigation,natural navigation,direction finding,outdoor skills,,,
Second Class,4,Nature,Identify or show evidence of at least 10 kinds of wild animals (such as birds mammals reptiles fish or mollusks) found in your local area or camping location. You may show evidence by tracks signs or photographs you have taken.,wildlife,animal identification,nature observation,tracking,,,
Second Class,5a,Aquatics,Tell what precautions must be taken for a safe swim.,swimming safety,safe swim defense,aquatics,water safety,,,
Second Class,5b,Aquatics,Demonstrate your ability to pass the BSA beginner test: Jump feetfirst into water over your head in depth level off and swim 25 feet on the surface stop turn sharply resume swimming then return to your starting place.,swimming,BSA beginner test,aquatics,water skills,,,
Second Class,5c,Aquatics,Demonstrate water rescue methods by reaching with your arm or leg by reaching with a suitable object and by throwing lines and objects.,water rescue,reaching rescue,throwing rescue,safety,aquatics,,
Second Class,5d,Aquatics,Explain why swimming rescues should not be attempted when a reaching or throwing rescue is possible. Explain why and how a rescue swimmer should avoid contact with the victim.,water rescue,rescue safety,aquatics,emergency response,,,
Second Class,6a,First Aid,Demonstrate first aid for object in the eye; bite of a warm-blooded animal; puncture wounds from a splinter nail and fishhook; serious burns (partial thickness or second-degree); heat exhaustion; shock; heatstroke dehydration hypothermia and hyperventilation.,first aid,medical,burns,heat injuries,cold injuries,shock,
Second Class,6b,First Aid,Show what to do for hurry cases of stopped breathing stroke severe bleeding and ingested poisoning.,first aid,emergency care,CPR,bleeding,poisoning,medical,
Second Class,6c,Safety,Tell what you can do while on a campout or hike to prevent or reduce the occurrence of the injuries listed in Second Class requirements 6a and 6b.,injury prevention,safety,outdoor safety,risk management,,,
Second Class,6d,First Aid,Explain what to do in case of accidents that require emergency response in the home and backcountry. Explain what constitutes an emergency and what information you will need to provide to a responder.,emergency response,911,emergency information,first aid,safety,,
Second Class,6e,Safety,Tell how you should respond if you come upon the scene of a vehicular accident.,accident response,emergency,safety,first aid,,,
Second Class,7a,Fitness,After completing Tenderfoot requirement 6c be physically active at least 30 minutes each day for five days a week for four weeks. Keep track of your activities.,fitness,physical activity,exercise,health,tracking,,
Second Class,7b,Fitness,Share your challenges and successes in completing Second Class requirement 7a. Set a goal for continuing to include physical activity as part of your daily life and develop a plan for doing so.,fitness goals,exercise planning,health,physical activity,goal setting,,
Second Class,7c,Health,Participate in a school community or troop program on the dangers of using drugs alcohol and tobacco and other practices that could be harmful to your health. Discuss your participation in the program with your family and explain the dangers of substance addictions. Report to your Scoutmaster or other adult leader in your troop about which parts of the Scout Oath and Scout Law relate to what you learned.,substance abuse,drugs,alcohol,tobacco,health,scout oath,scout law
Second Class,8a,Citizenship,Participate in a flag ceremony for your school religious institution chartered organization community or Scouting activity.,flag ceremony,citizenship,patriotism,service,,,
Second Class,8b,Citizenship,Explain what respect is due the flag of the United States.,flag respect,citizenship,patriotism,flag etiquette,,,
Second Class,8c,Personal Management,With your parents or guardian decide on an amount of money that you would like to earn based on the cost of a specific item you would like to purchase. Develop a written plan to earn the amount agreed upon and follow that plan; it is acceptable to make changes to your plan along the way. Discuss any changes made to your original plan and whether you met your goal.,personal management,earning money,goal setting,financial planning,,,
Second Class,8d,Personal Management,At a minimum of three locations compare the cost of the item for which you are saving to determine the best place to purchase it. After completing Second Class requirement 8c decide if you will use the amount that you earned as originally intended save all or part of it or use it for another purpose.,comparison shopping,financial planning,decision making,consumer skills,,,
Second Class,8e,Service,Participate in two hours of service through one or more service projects approved by your Scoutmaster. Tell how your service to others relates to the Scout Oath.,service,community service,scout oath,good turn,,,
Second Class,9a,Personal Safety,Explain the three R's of personal safety and protection.,personal safety,safety,protection,recognize,resist,report,
Second Class,9b,Personal Safety,Describe bullying; tell what the appropriate response is to someone who is bullying you or another person.,bullying,personal safety,respect,response,,,
First Class,1a,Camping,Since joining Scouts BSA participate in 10 separate troop/patrol activities at least six of which must be held outdoors. Of the outdoor activities at least three must include overnight camping. These activities do not include troop or patrol meetings. On campouts spend the night in a tent that you pitch or other structure that you help erect such as a lean-to snow cave or tepee.,camping,outdoor activities,participation,patrol activities,,,
First Class,1b,Outdoor Ethics,Explain the potential impacts of camping both on the environment and on other outdoor users. Explain why the Outdoor Code and Leave No Trace Seven Principles are important for protecting the outdoors.,outdoor ethics,leave no trace,outdoor code,conservation,environmental impact,,
First Class,2a,Cooking,Help plan a menu for one of the above campouts that includes at least one breakfast one lunch and one dinner and that requires cooking at least two of the meals. Tell how the menu includes the foods from MyPlate or the current USDA nutritional model and how it meets nutritional needs for the planned activity or campout.,meal planning,nutrition,myplate,menu planning,cooking,,
First Class,2b,Cooking,Using the menu planned in First Class requirement 2a make a list showing a budget and the food amounts needed to feed three or more youth. Secure the ingredients.,meal planning,budgeting,food quantities,shopping,cooking,,
First Class,2c,Cooking,Show which pans utensils and other gear will be needed to cook and serve these meals.,cooking equipment,meal preparation,camping gear,planning,,,
First Class,2d,Cooking,Demonstrate the procedures to follow in the safe handling and storage of fresh meats dairy products eggs vegetables and other perishable food products. Show how to properly dispose of camp garbage cans plastic containers waste water and other rubbish.,food safety,food storage,food handling,waste disposal,sanitation,,
First Class,2e,Cooking,On one campout serve as cook. Supervise your assistant(s) in using a stove or building a cooking fire. Prepare the breakfast lunch and dinner planned in First Class requirement 2a. Supervise the cleanup.,cooking,leadership,meal preparation,supervision,camp cooking,,
First Class,3a,Pioneering,Discuss when you should and should not use lashings.,lashings,rope work,pioneering,judgment,,,
First Class,3b,Pioneering,Demonstrate tying the timber hitch and clove hitch.,timber hitch,clove hitch,knots,rope work,,,
First Class,3c,Pioneering,Demonstrate tying the square shear and diagonal lashings by joining two or more poles or staves together.,lashings,square lashing,shear lashing,diagonal lashing,rope work,pioneering,
First Class,3d,Pioneering,Use lashings to make a useful camp gadget or structure.,lashings,camp gadget,pioneering,construction,practical skills,,
First Class,4a,Navigation,Using a map and compass complete an orienteering course that covers at least one mile and requires measuring the height and/or width of designated items (tree tower canyon ditch etc.).,orienteering,navigation,compass,map,measuring,,
First Class,4b,Navigation,Demonstrate how to use a handheld GPS unit GPS app on a smartphone or other electronic navigation system while on a campout or hike. Use GPS to find your current location a destination of your choice and the route you will take to get there. Follow that route to arrive at your destination.,GPS,navigation,technology,hiking,orienteering,,
First Class,5a,Nature,Identify or show evidence of at least 10 kinds of native plants found in your local area or campsite location. You may show evidence by identifying fallen leaves or fallen fruit that you find in the field or as part of a collection you have made or by photographs you have taken.,plant identification,native plants,nature observation,botany,,,
First Class,5b,Weather,Identify two ways to obtain a weather forecast for an upcoming activity. Explain why weather forecasts are important when planning for an event.,weather forecasting,planning,outdoor safety,preparation,,,
First Class,5c,Weather,Describe at least three natural indicators of impending hazardous weather the potential dangerous events that might result from such weather conditions and the appropriate actions to take.,weather signs,natural indicators,hazardous weather,safety,outdoor skills,,
First Class,5d,Weather,Describe extreme weather conditions you might encounter in the outdoors in your local geographic area. Discuss how you would determine ahead of time the potential risk of these types of weather dangers alternative planning considerations to avoid such risks and how you would prepare for and respond to those weather conditions.,extreme weather,weather safety,risk assessment,emergency preparedness,outdoor safety,,
First Class,6a,Aquatics,Successfully complete the BSA swimmer test.,swimming,BSA swimmer test,aquatics,water skills,,,
First Class,6b,Aquatics,Tell what precautions must be taken for a safe trip afloat.,boating safety,safe trip afloat,aquatics,water safety,,,
First Class,6c,Aquatics,Identify the basic parts of a canoe kayak or other boat. Identify the parts of a paddle or an oar.,watercraft,canoe,kayak,boat,paddle,oar,aquatics
First Class,6d,Aquatics,Describe proper body positioning in a watercraft depending on the type and size of the vessel. Explain the importance of proper body position in the boat.,watercraft,body position,boating,safety,aquatics,,
First Class,6e,Aquatics,With a helper and a practice victim show a line rescue both as tender and as rescuer. (The practice victim should be approximately 30 feet from shore in deep water.),water rescue,line rescue,aquatics,safety,rescue skills,,
First Class,7a,First Aid,Demonstrate bandages for a sprained ankle and for injuries on the head the upper arm and the collarbone.,first aid,bandaging,medical,sprains,injuries,,
First Class,7b,First Aid,By yourself and with a partner show how to: transport a person from a smoke-filled room; transport for at least 25 yards a person with a sprained ankle.,first aid,transport,emergency,rescue,carries,,
First Class,7c,First Aid,Tell the five most common signals of a heart attack. Explain the steps (procedures) in cardiopulmonary resuscitation (CPR).,first aid,heart attack,CPR,cardiopulmonary resuscitation,emergency,medical,
First Class,7d,Safety,Tell what utility services exist in your home or meeting place. Describe potential hazards associated with these utilities and tell how to respond in emergency situations.,utilities,safety,hazards,emergency preparedness,home safety,,
First Class,7e,Safety,Develop an emergency action plan for your home that includes what to do in case of fire storm power outage and water outage.,emergency plan,home safety,fire safety,disaster preparedness,planning,,
First Class,7f,Safety,Explain how to obtain potable water in an emergency.,water purification,emergency water,potable water,survival skills,,,
First Class,8a,Fitness,After completing Second Class requirement 7a be physically active at least 30 minutes each day for five days a week for four weeks. Keep track of your activities.,fitness,physical activity,exercise,health,tracking,,
First Class,8b,Fitness,Share your challenges and successes in completing First Class requirement 8a. Set a goal for continuing to include physical activity as part of your daily life.,fitness goals,exercise planning,health,physical activity,goal setting,,
First Class,9a,Citizenship,Visit and discuss with a selected individual approved by your leader (for example an elected official judge attorney civil servant principal or teacher) the constitutional rights and obligations of a U.S. citizen.,citizenship,constitutional rights,civic responsibility,government,interview,,
First Class,9b,Citizenship,Investigate an environmental issue affecting your community. Share what you learned about that issue with your patrol or troop. Tell what if anything could be done by you or your community to address the concern.,environmental issue,conservation,community,civic engagement,research,,
First Class,9c,Conservation,On a Scouting or family outing take note of the trash and garbage you produce. Before your next similar outing decide how you can reduce recycle or repurpose what you take on that outing and then put those plans into action. Compare your results.,conservation,reduce reuse recycle,waste reduction,outdoor ethics,leave no trace,,
First Class,9d,Service,Participate in three hours of service through one or more service projects approved by your Scoutmaster. The project(s) must not be the same service project(s) used for Tenderfoot requirement 7b and Second Class requirement 8e. Explain how your service to others relates to the Scout Law.,service,community service,scout law,good turn,leadership,,
First Class,10,Recruiting,Tell someone who is eligible to join Scouts BSA or an inactive Scout about your Scouting activities. Invite this person to an outing activity service project or meeting. Provide information on how to join or encourage the inactive Scout to become active. Share your efforts with your Scoutmaster or other adult leader.,recruiting,membership,outreach,sharing scouting,,,
